SampleID	Site	Keep	Original_Sample_Name	Owner	Sample_date_Month_Year	Description	Detailed_Description	Country_class	LandUse	Original_Region	Island	Region	SoilOrder	Soil_Subgroup	Lat	Long	Rainfall	Rainfall_unit	pH	pH_details	Resin_P	Resin_P_Units	Olsen_P	Olsen_P_Units	K	K_Units	Ca	Ca_Units	Mg	Mg_Units	Na	Na_Units	CEC	CEC_Units	Total_Base_Saturation	TBS_Units	Sulfate	Sulfate_Unit	Soil_water_content	Soil_water_content_Units	NO3_N	NO3_unit	NO4_N 	NO4_unit	Total_nitrogen 	Total_nitrogen_Unit	Total_carbon 	Total_carbon_unit	Olsen_P	Olsen_P_Unit	DEA 	DEA_Units	DR 	DR_Units	N2O 	N2O_Units	N2 	N2_Unit	N2O_slash_N2OplusN2	Soluble_C 	Soluble_C_Unit	MBC 	MBC_Unit	N2O_N20_N2_50	N2O_NO_N20_N2_50	Max_N2O_N2O_N2	Max_N2O_NO_N2O_N2	Max_N2O	Max_NO	16S_quantity	NozI 	NirS	NifH	NirK	NosZII	NozI_percent	NirS_percent	NirK_percent	NosZII_percent	NifH_percent	NehaCode	NirK_Phylotype_Number	NirS_Phylotype_Number	NirK_Plus_NirS	NosZ_Phylotype_Number	diversity_nirK_1	eveness_nirK_1	diversity_nirS_1	Evenness_nirS_1	diversity_nosZ_1	eveness_nosZ_1	rpoB_gene_copies 	rpoB_Gene_Copies_Unit	nirK_gene_copies 	nirK_Gene_Copies_Unit 	nirS_Gene_Copies 	nirS_Gene_Copies_Unit	nirS_Plus_K_gene_copies	nirS_Plus_K_gene_copies_Unit	Nosz_Gene_Copies 	Nosz_Gene_Copies_Unit	Anion_Storage_Capacity	Anion_Storage_Capacity_Unit	Extractable_Organic_Sulphur	Extractable_Organic_Sulphur_Unit	Anaerobically_Mineralisable_N	Anaerobically_Mineralisable_N_Unit	AMN_Over_TN	AMN_Over_TN_Unit	Total_Sulphur	Total_Sulphur_unit
CL3.C	CL	No	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6.2	in water	30	mg/kg	12	mg/L	0.38	me/100g	10.8	me/100g	0.93	me/100g	0.16	me/100g	20	me/100g	63	%	3	mg/kg																																																																									
CL4.A	CL	No	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6	in water	27	mg/kg	8	mg/L	0.37	me/100g	12.5	me/100g	0.94	me/100g	0.16	me/100g	22	me/100g	65	%	4	mg/kg																																																																									
CL4.B	CL	Yes	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6	in water	26	mg/kg	8	mg/L	0.34	me/100g	11.4	me/100g	0.9	me/100g	0.13	me/100g	20	me/100g	64	%	4	mg/kg																																																																									
CL4.C	CL	No	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6.2	in water	30	mg/kg	12	mg/L	0.38	me/100g	10.8	me/100g	0.93	me/100g	0.16	me/100g	20	me/100g	63	%	3	mg/kg																																																																									
CL5.A	CL	No	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6	in water	27	mg/kg	8	mg/L	0.37	me/100g	12.5	me/100g	0.94	me/100g	0.16	me/100g	22	me/100g	65	%	4	mg/kg																																																																									
CL5.B	CL	Yes	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6.1	in water	29	mg/kg	10	mg/L	0.38	me/100g	12.9	me/100g	1.14	me/100g	0.16	me/100g	23	me/100g	63	%	10	mg/kg																																																																									
CL5.C	CL	No	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6.3	in water	32	mg/kg	11	mg/L	0.39	me/100g	13.8	me/100g	1.18	me/100g	0.2	me/100g	23	me/100g	68	%	14	mg/kg																																																																									
CL6.A	CL	No	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6	in water	27	mg/kg	8	mg/L	0.37	me/100g	12.5	me/100g	0.94	me/100g	0.16	me/100g	22	me/100g	65	%	4	mg/kg																																																																									
CL6.B	CL	Yes	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6	in water	53	mg/kg	21	mg/L	0.43	me/100g	14.3	me/100g	1.26	me/100g	0.16	me/100g	24	me/100g	68	%	37	mg/kg																																																																									
CL6.C	CL	No	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6.2	in water	45	mg/kg	14	mg/L	0.47	me/100g	14.1	me/100g	1.24	me/100g	0.22	me/100g	23	me/100g	69	%	24	mg/kg																																																																									
CL7.C	CL	No	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6.2	in water	45	mg/kg	14	mg/L	0.47	me/100g	14.1	me/100g	1.24	me/100g	0.22	me/100g	23	me/100g	69	%	24	mg/kg																																																																									
CL8.C	CL	No	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6.2	in water	30	mg/kg	12	mg/L	0.38	me/100g	10.8	me/100g	0.93	me/100g	0.16	me/100g	20	me/100g	63	%	3	mg/kg																																																																									
CL9.A	CL	No	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6	in water	27	mg/kg	8	mg/L	0.37	me/100g	12.5	me/100g	0.94	me/100g	0.16	me/100g	22	me/100g	65	%	4	mg/kg																																																																									
CL9.C	CL	No	Craiglynn	Rachel	Nov-14			High Country	High Country	Otago	South Island	Otago	Pallic	Mottled Laminar Pallic	-45.46	170.25	0.99671233		6.3	in water	32	mg/kg	11	mg/L	0.39	me/100g	13.8	me/100g	1.18	me/100g	0.2	me/100g	23	me/100g	68	%	14	mg/kg																																																																									
GH1.A	GH	 No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	81	mg/kg	35	mg/L	0.74	me/100g	8.8	me/100g	1.49	me/100g	0.21	me/100g	15	me/100g	75	%	13	mg/kg																																																																									
GH1.B	GH	Yes	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	59	mg/kg	24	mg/L	0.42	me/100g	8.7	me/100g	1.43	me/100g	0.2	me/100g	16	me/100g	66	%	9	mg/kg																																																																									
GH1.C	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.2	in water	59	mg/kg	26	mg/L	0.37	me/100g	8	me/100g	1.28	me/100g	0.17	me/100g	15	me/100g	65	%	9	mg/kg																																																																									
GH10.A	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	81	mg/kg	35	mg/L	0.74	me/100g	8.8	me/100g	1.49	me/100g	0.21	me/100g	15	me/100g	75	%	13	mg/kg																																																																									
GH10.B	GH	Yes	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	59	mg/kg	24	mg/L	0.42	me/100g	8.7	me/100g	1.43	me/100g	0.2	me/100g	16	me/100g	66	%	9	mg/kg																																																																									
GH10.C	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.2	in water	59	mg/kg	26	mg/L	0.37	me/100g	8	me/100g	1.28	me/100g	0.17	me/100g	15	me/100g	65	%	9	mg/kg																																																																									
GH11.B	GH	Yes	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.3	in water	72	mg/kg	26	mg/L	0.53	me/100g	8.8	me/100g	1.49	me/100g	0.19	me/100g	15	me/100g	72	%	10	mg/kg																																																																									
GH11.C	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	66	mg/kg	28	mg/L	0.45	me/100g	8.9	me/100g	1.53	me/100g	0.18	me/100g	15	me/100g	71	%	10	mg/kg																																																																									
GH12.A	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	81	mg/kg	35	mg/L	0.74	me/100g	8.8	me/100g	1.49	me/100g	0.21	me/100g	15	me/100g	75	%	13	mg/kg																																																																									
GH12.B	GH	Yes	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.3	in water	74	mg/kg	27	mg/L	0.4	me/100g	8.6	me/100g	1.26	me/100g	0.16	me/100g	14	me/100g	76	%	19	mg/kg																																																																									
GH12.C	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6	in water	74	mg/kg	27	mg/L	0.37	me/100g	8.9	me/100g	1.3	me/100g	0.16	me/100g	16	me/100g	68	%	24	mg/kg																																																																									
GH2.A	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	81	mg/kg	35	mg/L	0.74	me/100g	8.8	me/100g	1.49	me/100g	0.21	me/100g	15	me/100g	75	%	13	mg/kg																																																																									
GH2.B	GH	Yes	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.3	in water	74	mg/kg	27	mg/L	0.4	me/100g	8.6	me/100g	1.26	me/100g	0.16	me/100g	14	me/100g	76	%	19	mg/kg																																																																									
GH2.C	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6	in water	74	mg/kg	27	mg/L	0.37	me/100g	8.9	me/100g	1.3	me/100g	0.16	me/100g	16	me/100g	68	%	24	mg/kg																																																																									
GH3.A	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	81	mg/kg	35	mg/L	0.74	me/100g	8.8	me/100g	1.49	me/100g	0.21	me/100g	15	me/100g	75	%	13	mg/kg																																																																									
GH3.C	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	66	mg/kg	28	mg/L	0.45	me/100g	8.9	me/100g	1.53	me/100g	0.18	me/100g	15	me/100g	71	%	10	mg/kg																																																																									
GH4.A	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	81	mg/kg	35	mg/L	0.74	me/100g	8.8	me/100g	1.49	me/100g	0.21	me/100g	15	me/100g	75	%	13	mg/kg																																																																									
GH4.B	GH	Yes	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.3	in water	74	mg/kg	27	mg/L	0.4	me/100g	8.6	me/100g	1.26	me/100g	0.16	me/100g	14	me/100g	76	%	19	mg/kg																																																																									
GH4.C	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6	in water	74	mg/kg	27	mg/L	0.37	me/100g	8.9	me/100g	1.3	me/100g	0.16	me/100g	16	me/100g	68	%	24	mg/kg																																																																									
GH5.A	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	81	mg/kg	35	mg/L	0.74	me/100g	8.8	me/100g	1.49	me/100g	0.21	me/100g	15	me/100g	75	%	13	mg/kg																																																																									
GH5.B	GH	Yes	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	59	mg/kg	24	mg/L	0.42	me/100g	8.7	me/100g	1.43	me/100g	0.2	me/100g	16	me/100g	66	%	9	mg/kg																																																																									
GH5.C	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.2	in water	59	mg/kg	26	mg/L	0.37	me/100g	8	me/100g	1.28	me/100g	0.17	me/100g	15	me/100g	65	%	9	mg/kg																																																																									
GH6.A	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	81	mg/kg	35	mg/L	0.74	me/100g	8.8	me/100g	1.49	me/100g	0.21	me/100g	15	me/100g	75	%	13	mg/kg																																																																									
GH6.B	GH	Yes	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.3	in water	72	mg/kg	26	mg/L	0.53	me/100g	8.8	me/100g	1.49	me/100g	0.19	me/100g	15	me/100g	72	%	10	mg/kg																																																																									
GH6.C	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	66	mg/kg	28	mg/L	0.45	me/100g	8.9	me/100g	1.53	me/100g	0.18	me/100g	15	me/100g	71	%	10	mg/kg																																																																									
GH7.A	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	81	mg/kg	35	mg/L	0.74	me/100g	8.8	me/100g	1.49	me/100g	0.21	me/100g	15	me/100g	75	%	13	mg/kg																																																																									
GH7.B	GH	Yes	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.3	in water	72	mg/kg	26	mg/L	0.53	me/100g	8.8	me/100g	1.49	me/100g	0.19	me/100g	15	me/100g	72	%	10	mg/kg																																																																									
GH7.C	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	66	mg/kg	28	mg/L	0.45	me/100g	8.9	me/100g	1.53	me/100g	0.18	me/100g	15	me/100g	71	%	10	mg/kg																																																																									
GH8.A	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	81	mg/kg	35	mg/L	0.74	me/100g	8.8	me/100g	1.49	me/100g	0.21	me/100g	15	me/100g	75	%	13	mg/kg																																																																									
GH8.B	GH	Yes	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.3	in water	74	mg/kg	27	mg/L	0.4	me/100g	8.6	me/100g	1.26	me/100g	0.16	me/100g	14	me/100g	76	%	19	mg/kg																																																																									
GH8.C	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6	in water	74	mg/kg	27	mg/L	0.37	me/100g	8.9	me/100g	1.3	me/100g	0.16	me/100g	16	me/100g	68	%	24	mg/kg																																																																									
GH9.A	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	81	mg/kg	35	mg/L	0.74	me/100g	8.8	me/100g	1.49	me/100g	0.21	me/100g	15	me/100g	75	%	13	mg/kg																																																																									
GH9.B	GH	Yes	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.1	in water	59	mg/kg	24	mg/L	0.42	me/100g	8.7	me/100g	1.43	me/100g	0.2	me/100g	16	me/100g	66	%	9	mg/kg																																																																									
GH9.C	GH	No	Greenhill	Rachel	Nov-14			Low Country	Other	South Canterbury	South Island	Canterbury	Pallic	Mottled Fragic Pallic	-44.305556	170.873056	1.82520548		6.2	in water	59	mg/kg	26	mg/L	0.37	me/100g	8	me/100g	1.28	me/100g	0.17	me/100g	15	me/100g	65	%	9	mg/kg																																																																									
Gift1.A	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	114	mg/kg	42	mg/L	1.09	me/100g	12.8	me/100g	2.84	me/100g	0.18	me/100g	23	me/100g	74	%	8	mg/kg																																																																									
Gift1.B	Gift	Yes	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.4	in water	99	mg/kg	36	mg/L	0.54	me/100g	12	me/100g	3.09	me/100g	0.22	me/100g	21	me/100g	75	%	9	mg/kg																																																																									
Gift1.C	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.4	in water	110	mg/kg	41	mg/L	0.7	me/100g	13.4	me/100g	3.35	me/100g	0.24	me/100g	23	me/100g	76	%	4	mg/kg																																																																									
Gift10.A	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	114	mg/kg	42	mg/L	1.09	me/100g	12.8	me/100g	2.84	me/100g	0.18	me/100g	23	me/100g	74	%	8	mg/kg																																																																									
Gift10.B	Gift	Yes	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.4	in water	99	mg/kg	36	mg/L	0.54	me/100g	12	me/100g	3.09	me/100g	0.22	me/100g	21	me/100g	75	%	9	mg/kg																																																																									
Gift10.C	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.4	in water	110	mg/kg	41	mg/L	0.7	me/100g	13.4	me/100g	3.35	me/100g	0.24	me/100g	23	me/100g	76	%	4	mg/kg																																																																									
Gift11.A	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	114	mg/kg	42	mg/L	1.09	me/100g	12.8	me/100g	2.84	me/100g	0.18	me/100g	23	me/100g	74	%	8	mg/kg																																																																									
Gift11.B	Gift	Yes	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.5	in water	128	mg/kg	40	mg/L	0.66	me/100g	12.4	me/100g	3.29	me/100g	0.22	me/100g	21	me/100g	77	%	6	mg/kg																																																																									
Gift11.C	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.4	in water	112	mg/kg	41	mg/L	0.67	me/100g	12.5	me/100g	3.13	me/100g	0.2	me/100g	21	me/100g	79	%	4	mg/kg																																																																									
Gift12.A	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	114	mg/kg	42	mg/L	1.09	me/100g	12.8	me/100g	2.84	me/100g	0.18	me/100g	23	me/100g	74	%	8	mg/kg																																																																									
Gift12.B	Gift	Yes	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.4	in water	131	mg/kg	43	mg/L	0.78	me/100g	12.5	me/100g	3.07	me/100g	0.19	me/100g	22	me/100g	75	%	29	mg/kg																																																																									
Gift12.C	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	126	mg/kg	51	mg/L	0.62	me/100g	12.9	me/100g	3.22	me/100g	0.2	me/100g	22	me/100g	78	%	27	mg/kg																																																																									
Gift2.A	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	114	mg/kg	42	mg/L	1.09	me/100g	12.8	me/100g	2.84	me/100g	0.18	me/100g	23	me/100g	74	%	8	mg/kg																																																																									
Gift2.B	Gift	Yes	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.4	in water	131	mg/kg	43	mg/L	0.78	me/100g	12.5	me/100g	3.07	me/100g	0.19	me/100g	22	me/100g	75	%	29	mg/kg																																																																									
Gift2.C	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	126	mg/kg	51	mg/L	0.62	me/100g	12.9	me/100g	3.22	me/100g	0.2	me/100g	22	me/100g	78	%	27	mg/kg																																																																									
Gift3.A	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	114	mg/kg	42	mg/L	1.09	me/100g	12.8	me/100g	2.84	me/100g	0.18	me/100g	23	me/100g	74	%	8	mg/kg																																																																									
Gift3.B	Gift	Yes	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.5	in water	128	mg/kg	40	mg/L	0.66	me/100g	12.4	me/100g	3.29	me/100g	0.22	me/100g	21	me/100g	77	%	6	mg/kg																																																																									
Gift3.C	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.4	in water	112	mg/kg	41	mg/L	0.67	me/100g	12.5	me/100g	3.13	me/100g	0.2	me/100g	21	me/100g	79	%	4	mg/kg																																																																									
Gift4.A	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	114	mg/kg	42	mg/L	1.09	me/100g	12.8	me/100g	2.84	me/100g	0.18	me/100g	23	me/100g	74	%	8	mg/kg																																																																									
Gift4.B	Gift	Yes	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.4	in water	131	mg/kg	43	mg/L	0.78	me/100g	12.5	me/100g	3.07	me/100g	0.19	me/100g	22	me/100g	75	%	29	mg/kg																																																																									
Gift4.C	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	126	mg/kg	51	mg/L	0.62	me/100g	12.9	me/100g	3.22	me/100g	0.2	me/100g	22	me/100g	78	%	27	mg/kg																																																																									
Gift5.A	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	114	mg/kg	42	mg/L	1.09	me/100g	12.8	me/100g	2.84	me/100g	0.18	me/100g	23	me/100g	74	%	8	mg/kg																																																																									
Gift5.B	Gift	Yes	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.4	in water	99	mg/kg	36	mg/L	0.54	me/100g	12	me/100g	3.09	me/100g	0.22	me/100g	21	me/100g	75	%	9	mg/kg																																																																									
Gift5.C	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.4	in water	110	mg/kg	41	mg/L	0.7	me/100g	13.4	me/100g	3.35	me/100g	0.24	me/100g	23	me/100g	76	%	4	mg/kg																																																																									
Gift6.A	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	114	mg/kg	42	mg/L	1.09	me/100g	12.8	me/100g	2.84	me/100g	0.18	me/100g	23	me/100g	74	%	8	mg/kg																																																																									
Gift6.B	Gift	Yes	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.5	in water	128	mg/kg	40	mg/L	0.66	me/100g	12.4	me/100g	3.29	me/100g	0.22	me/100g	21	me/100g	77	%	6	mg/kg																																																																									
Gift6.C	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.4	in water	112	mg/kg	41	mg/L	0.67	me/100g	12.5	me/100g	3.13	me/100g	0.2	me/100g	21	me/100g	79	%	4	mg/kg																																																																									
Gift7.A	Gift	No	Gift	Rachel	Nov-14			Low Country	Dairy	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.658333	172.157778	2.01993865		6.2	in water	114	mg/kg	42	mg/L	1.09	me/100g	12.8	me/100g	2.84	me/100g	0.18	me/100g	23	me/100g	74	%	8	mg/kg																																																																									
